market_date,timestamp_et,deployment_signal,market_condition,recovery_stage,supportive_family_count,vol_structure_state,vol_structure_supportive,breadth_thrust_state,breadth_thrust_supportive,risk_appetite_state,risk_appetite_supportive,options_sentiment_state,options_sentiment_supportive,vol_structure_last_updated,breadth_thrust_last_updated,risk_appetite_last_updated,options_sentiment_last_updated,t2108_value,t2108_state,t2108_direction,t2108_coverage_pct
2026-09-14,2026-09-14T16:12:55.387262-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T16:12:55.387262-04:00,2026-09-14,,32.61821366024518,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T16:28:32.470198-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T16:28:32.470198-04:00,2026-09-14,,32.66199649737303,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T16:36:19.329735-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,NORMAL,False,2026-09-14,2026-09-14T16:36:19.329735-04:00,2026-09-14,2026-09-14,32.749562171628725,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T10:03:19.964110-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T10:03:19.964110-04:00,2026-09-15,,29.859894921190893,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T10:14:01.735759-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T10:14:01.735759-04:00,2026-09-15,,29.640980735551665,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T10:35:57.437629-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T10:35:57.437629-04:00,2026-09-15,,29.24693520140105,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T10:52:26.358636-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T10:52:26.358636-04:00,2026-09-15,,28.765323992994745,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T11:19:13.337459-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T11:19:13.337459-04:00,2026-09-15,,28.94045534150613,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T11:33:32.424761-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,BROAD_CONFIRMATION,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T11:33:32.424761-04:00,2026-09-15,,29.15936952714536,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T12:15:03.435065-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T12:15:03.435065-04:00,2026-09-15,,29.203152364273205,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T12:29:15.607300-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T12:29:15.607300-04:00,2026-09-15,,29.37828371278459,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T12:41:57.782604-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T12:41:57.782604-04:00,2026-09-15,,29.334500875656744,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T12:53:09.757504-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T12:53:09.757504-04:00,2026-09-15,,29.68476357267951,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T13:08:59.490164-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-14,2026-09-15T13:08:59.490164-04:00,2026-09-15,,29.509632224168126,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T13:25:44.856868-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-14,2026-09-15T13:25:44.856868-04:00,2026-09-15,,29.24693520140105,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T13:34:06.541182-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-14,2026-09-15T13:34:06.541182-04:00,2026-09-15,,29.46584938704028,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T13:41:59.575317-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-14,2026-09-15T13:41:59.575317-04:00,2026-09-15,,29.509632224168126,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T14:04:49.381778-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-14,2026-09-15T14:04:49.381778-04:00,2026-09-15,,29.859894921190893,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T14:14:02.264057-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-14,2026-09-15T14:14:02.264057-04:00,2026-09-15,,30.035026269702275,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T14:27:19.636201-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-14,2026-09-15T14:27:19.636201-04:00,2026-09-15,,29.991243432574432,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T14:40:11.782031-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-14,2026-09-15T14:40:11.782031-04:00,2026-09-15,,29.7723292469352,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T14:53:22.749930-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T14:53:22.749930-04:00,2026-09-15,,29.68476357267951,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T15:17:51.939526-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T15:17:51.939526-04:00,2026-09-15,,29.553415061295972,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T15:28:30.581345-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T15:28:30.581345-04:00,2026-09-15,,29.509632224168126,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T15:40:09.579326-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T15:40:09.579326-04:00,2026-09-15,,29.37828371278459,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T16:13:40.328851-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T16:13:40.328851-04:00,2026-09-15,,29.46584938704028,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T16:25:02.372749-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T16:25:02.372749-04:00,2026-09-15,,29.37828371278459,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T16:33:27.555400-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,UNAVAILABLE,False,2026-09-14,2026-09-15T16:33:27.555400-04:00,2026-09-15,,29.37828371278459,WEAK,FALLING,99.4773519163763
2026-09-15,2026-09-15T16:42:17.023642-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,DEFENSIVE,False,MIXED,False,NORMAL,False,2026-09-15,2026-09-15T16:42:17.023642-04:00,2026-09-15,2026-09-15,30.21015761821366,WEAK,FALLING,99.43404440574662
2026-09-16,2026-09-16T09:35:24.182313-04:00,WATCH,OVERSOLD,NOT_APPLICABLE,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T09:35:24.182313-04:00,2026-09-16,,30.910683012259195,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T09:48:46.969705-04:00,WATCH,OVERSOLD,NOT_APPLICABLE,2,NORMALIZED,True,DEFENSIVE,False,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T09:48:46.969705-04:00,2026-09-16,,30.604203152364274,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T09:59:14.189716-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,BROAD_CONFIRMATION,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T09:59:14.189716-04:00,2026-09-16,,30.95446584938704,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T10:10:47.437926-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T10:10:47.437926-04:00,2026-09-16,,30.86690017513135,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T10:18:25.378284-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T10:18:25.378284-04:00,2026-09-16,,30.604203152364274,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T10:32:24.884204-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,2,NORMALIZED,True,BUILDING,True,MIXED,False,UNAVAILABLE,False,2026-09-15,2026-09-16T10:32:24.884204-04:00,2026-09-16,,29.947460595446586,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T10:46:38.622370-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T10:46:38.622370-04:00,2026-09-16,,30.560420315236428,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T10:57:14.443132-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,BROAD_CONFIRMATION,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T10:57:14.443132-04:00,2026-09-16,,30.3415061295972,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T11:13:43.251645-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,BROAD_CONFIRMATION,2,NORMALIZED,True,BUILDING,True,MIXED,False,UNAVAILABLE,False,2026-09-15,2026-09-16T11:13:43.251645-04:00,2026-09-16,,30.297723292469353,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T11:28:49.932935-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,BROAD_CONFIRMATION,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T11:28:49.932935-04:00,2026-09-16,,30.385288966725042,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T11:37:44.624602-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T11:37:44.624602-04:00,2026-09-16,,30.42907180385289,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T11:47:40.914877-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T11:47:40.914877-04:00,2026-09-16,,30.95446584938704,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T12:04:26.090773-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T12:04:26.090773-04:00,2026-09-16,,31.085814360770577,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T12:16:04.508571-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T12:16:04.508571-04:00,2026-09-16,,30.42907180385289,WEAK,FLAT,99.43404440574662
2026-09-16,2026-09-16T12:27:47.682718-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,3,NORMALIZED,True,BUILDING,True,BROADENING,True,UNAVAILABLE,False,2026-09-15,2026-09-16T12:27:47.682718-04:00,2026-09-16,,30.560420315236428,WEAK,FLAT,99.43404440574662
