market_date,timestamp_et,state,candidate_action,turn_family_count,daily_context_state,SPXA20R,NYMO,NAMO,NYUD,NAUD,nyse_down_up_ratio,nasdaq_down_up_ratio,NAADV,NADEC,NASI_RSI,NASI_EMA4,NASI_EMA10,NASI_DIRECTION,VVIX,VVIX_PRIOR_CLOSE,VVIX_DIRECTION
2026-09-16,2026-09-16T09:43:41.488776-04:00,OVERSOLD,WAIT_FOR_WASHOUT,0,WASHOUT,22.6,-55.39,-47.53,-1400.7431,-2303.809,1.7590378511810298,1.8246861780301427,1472.0,3443.0,16.612351793288084,21.489532545838724,30.09535264562768,FALLING,94.37,94.91,FALLING
2026-09-16,2026-09-16T09:54:29.978161-04:00,WASHOUT,GO_EARLY_INTRADAY,3,WASHOUT,23.6,-55.39,-47.53,3.449854000000002,747.463193,0.9663893672111673,0.38030724952624456,2118.0,1574.0,18.227693152312796,22.13566908944861,30.389051074541264,FALLING,94.58,94.91,FALLING
2026-09-16,2026-09-16T10:04:02.992896-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.0,-55.39,-47.53,4.786451999999997,898.202266,0.9694253744763265,0.363625165240062,2361.0,1528.0,18.446351348020812,22.223132367731814,30.428807110124538,FALLING,94.96,94.91,FLAT
2026-09-16,2026-09-16T10:14:39.345253-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,22.4,-55.39,-47.53,6.499657000000013,1024.587573,0.968789431532303,0.358985695426159,2444.0,1543.0,18.48546325621679,22.238777131010206,30.435918366160173,FALLING,95.77,94.91,RISING
2026-09-16,2026-09-16T10:27:39.360931-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,22.2,-55.39,-47.53,-68.13535300000001,1118.405436,1.2757310924387433,0.3851719239532195,2370.0,1727.0,18.25877019706499,22.148099907349486,30.39470144631439,FALLING,96.32,94.91,RISING
2026-09-16,2026-09-16T10:38:44.784689-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,22.2,-55.39,-47.53,-47.31759299999999,1198.176296,1.149861599320098,0.39288826820955125,2373.0,1790.0,18.204121017558293,22.12624023554681,30.384765231858626,FALLING,95.88,94.91,RISING
2026-09-16,2026-09-16T10:51:00.548444-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,22.6,-55.39,-47.53,-94.38142599999998,1296.3587089999999,1.2728366711737131,0.3913449877205833,2396.0,1855.0,18.16301644074973,22.109798404823383,30.377291672438886,FALLING,95.42,94.91,RISING
2026-09-16,2026-09-16T11:02:56.972486-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,23.2,-55.39,-47.53,-49.19976299999996,1127.907395,1.1156779719567547,0.47733011437029715,2518.0,1810.0,18.280336612187156,22.156726473398354,30.398622612700237,FALLING,95.61,94.91,RISING
2026-09-16,2026-09-16T11:08:55.704769-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,23.6,-55.39,-47.53,-40.921816000000035,1199.6029879999999,1.0890241407918964,0.46663038754526615,2537.0,1801.0,18.300115209884808,22.164637912477414,30.402218721372538,FALLING,95.48,94.91,RISING
2026-09-16,2026-09-16T11:25:03.654752-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,24.4,-55.39,-47.53,40.244369000000006,1292.449931,0.9305209546095748,0.47027479748514667,2657.0,1736.0,18.43132812560073,22.217123078763784,30.42607561513907,FALLING,95.07,94.91,FLAT
2026-09-16,2026-09-16T11:33:48.396199-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.8,-55.39,-47.53,-45.59508800000003,1401.1923619999998,1.0785373747069689,0.45468123319106407,2641.0,1780.0,16.37674278908625,19.630405129765226,27.716342064248757,FALLING,94.87,94.91,FLAT
2026-09-16,2026-09-16T11:42:16.972891-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.8,-55.39,-47.53,-13.84773400000006,1494.143724,1.0219159382531713,0.4447845385521765,2667.0,1765.0,16.401414800192825,19.640273934207855,27.720827884449953,FALLING,94.85,94.91,FLAT
2026-09-16,2026-09-16T11:53:56.602319-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,24.2,-55.39,-47.53,-79.39576699999998,1501.617503,1.123267009243328,0.4611834164683614,2600.0,1867.0,16.291045328063063,19.59612614535595,27.700760707699086,FALLING,94.52,94.91,FALLING
2026-09-16,2026-09-16T11:58:50.751188-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,24.0,-55.39,-47.53,-7.658524000000057,1560.593299,1.0108787799481622,0.45180172277714403,2629.0,1840.0,16.32575618908524,19.61001048976482,27.707071773339482,FALLING,94.49,94.91,FALLING
2026-09-16,2026-09-16T12:09:41.839515-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.8,-55.39,-47.53,-9.51409799999999,1613.392104,1.0127070437964267,0.45481063824172163,2676.0,1824.0,16.36153074694039,19.62432031290688,27.713576238404055,FALLING,94.74,94.91,FLAT
2026-09-16,2026-09-16T12:22:18.250761-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,24.0,-55.39,-47.53,-107.209788,1631.3848589999998,1.1445296089346884,0.46642971004668365,2649.0,1866.0,16.31702750535132,19.606519016271253,27.705484739933315,FALLING,94.68,94.91,FLAT
2026-09-16,2026-09-16T12:33:09.537445-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,24.2,-55.39,-47.53,-58.54578500000002,1698.863468,1.0725719849493633,0.4625535742342295,2652.0,1875.0,16.31204984008245,19.604527950163707,27.70457970988443,FALLING,94.75,94.91,FLAT
2026-09-16,2026-09-16T12:44:10.458447-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.0,-55.39,-47.53,-90.85089100000005,1850.390317,1.1097574501086125,0.44274486266024576,2647.0,1907.0,16.286604144759494,19.59434967203452,27.69995321982571,FALLING,94.79,94.91,FLAT
2026-09-16,2026-09-16T12:53:17.440110-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,22.8,-55.39,-47.53,-98.11667799999998,1871.339033,1.1148109440289562,0.4470473358641687,2634.0,1928.0,16.265129546400757,19.58575983269103,27.696048747396848,FALLING,94.71,94.91,FLAT
2026-09-16,2026-09-16T13:03:18.190503-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.0,-55.39,-47.53,-182.05297699999994,1790.7467910000003,1.2158443026507109,0.4724631927313722,2658.0,1913.0,16.2879646035541,19.594893855552368,27.700200575970186,FALLING,94.74,94.91,FLAT
2026-09-16,2026-09-16T13:09:47.002019-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,23.2,-55.39,-47.53,-147.053087,1859.9433980000001,1.1676860967205485,0.46447501333223545,2693.0,1897.0,16.31702346749468,19.606517401128595,27.705484005777564,FALLING,94.74,94.91,FLAT
2026-09-16,2026-09-16T13:20:05.421520-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,23.4,-55.39,-47.53,-170.94527399999993,2147.706881,1.1888105470298274,0.4247273493735541,2680.0,1922.0,16.292765953796632,19.59681439564938,27.701073548741554,FALLING,94.76,94.91,FLAT
2026-09-16,2026-09-16T13:32:25.256032-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.2,-55.39,-47.53,-163.28000099999986,2336.530933,1.1742702086315044,0.40867698451427215,2669.0,1930.0,16.281583024660904,19.59234122399509,27.699040288898694,FALLING,94.82,94.91,FLAT
2026-09-16,2026-09-16T13:39:53.656224-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.0,-55.39,-47.53,-204.685064,2437.2148500000003,1.2160244409502197,0.4030381029632142,2702.0,1918.0,16.306643975352515,19.602365604271732,27.70359682538808,FALLING,94.83,94.91,FLAT
2026-09-16,2026-09-16T13:50:08.314597-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.0,-55.39,-47.53,-162.51848299999995,2486.267492,1.1626823301356193,0.403868402200632,2715.0,1906.0,16.321626747704173,19.608358713212393,27.706320965815653,FALLING,94.96,94.91,FLAT
2026-09-16,2026-09-16T13:57:00.424544-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,23.8,-55.39,-47.53,-166.77574600000003,2616.526277,1.1621081088626,0.3946477169606227,2687.0,1941.0,16.282987405971966,19.59290297651951,27.699295630955252,FALLING,95.02,94.91,FLAT
2026-09-16,2026-09-16T14:03:06.056524-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.0,-55.39,-47.53,-175.97894100000008,2628.947952,1.1698298948811767,0.39305174922482466,2684.0,1946.0,16.277996033718793,19.590906427618243,27.6983881087274,FALLING,95.01,94.91,FLAT
2026-09-16,2026-09-16T14:14:16.049501-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,24.6,-55.39,-47.53,-156.40402400000016,2591.8615270000005,1.1437678792221753,0.4152981809860561,2673.0,1972.0,16.254488728164105,19.581503505396366,27.694114053172004,FALLING,94.47,94.91,FALLING
2026-09-16,2026-09-16T14:25:44.564674-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,23.2,-55.39,-47.53,-187.9793189999998,3059.185606,1.1639413388728623,0.3641823604892101,2663.0,1991.0,16.236453040424422,19.574289230300494,27.690834837219334,FALLING,94.49,94.91,FALLING
2026-09-16,2026-09-16T14:38:14.852029-04:00,OVERSOLD,WAIT_FOR_WASHOUT,0,WASHOUT,21.2,-55.39,-47.53,-496.5987479999999,2862.4488949999995,1.4676666463288608,0.4081030053879318,2516.0,2135.0,16.065723280826674,19.505997326461394,27.659793062747017,FALLING,96.5,94.91,RISING
2026-09-16,2026-09-16T14:49:40.015237-04:00,OVERSOLD,WAIT_FOR_WASHOUT,0,WASHOUT,21.2,-55.39,-47.53,-622.918222,2542.4294630000004,1.5888524967768312,0.46128289756765967,2461.0,2195.0,15.998975094880691,19.479298052083003,27.647657028938657,FALLING,94.98,94.91,FLAT
2026-09-16,2026-09-16T15:00:07.848869-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,20.4,-55.39,-47.53,-452.337303,3392.5729610000003,1.3748095794157202,0.3604247597619104,2516.0,2170.0,16.043901588751524,19.497268649631334,27.655825482369714,FALLING,96.47,94.91,RISING
2026-09-16,2026-09-16T15:04:40.844014-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,20.8,-55.39,-47.53,-761.796061,2562.08999,1.708225706385327,0.47998784410970724,2443.0,2244.0,15.959724491213137,19.46359781061598,27.640520555544555,FALLING,96.09,94.91,RISING
2026-09-16,2026-09-16T15:21:12.994139-04:00,OVERSOLD,WAIT_FOR_WASHOUT,0,WASHOUT,16.4,-55.39,-47.53,-1348.7750270000001,2279.384086,2.5055004714766063,0.5402527799555318,2004.0,2707.0,15.464100931606083,19.26534838677316,27.550407181070543,FALLING,98.78,94.91,RISING
2026-09-16,2026-09-16T15:28:11.244730-04:00,OVERSOLD,WAIT_FOR_WASHOUT,0,WASHOUT,15.8,-55.39,-47.53,-1641.9020569999998,1042.8425690000004,3.0753262330005313,0.7634310545705152,1824.0,2894.0,15.27218361523154,19.18858146022334,27.5155131235479,FALLING,99.48,94.91,RISING
2026-09-16,2026-09-16T15:38:37.662621-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,18.2,-55.39,-47.53,-1915.8072100000002,530.2549809999996,3.5989808598464244,0.8757653739624239,1661.0,3071.0,15.100210043789431,19.119792031646497,27.484245201467516,FALLING,97.24,94.91,RISING
2026-09-16,2026-09-16T15:46:18.308482-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,18.4,-55.39,-47.53,-2002.0241010000002,263.8316460000001,3.6799429742308223,0.9373449672091079,1580.0,3158.0,15.016871039468668,19.086456429918194,27.469092655227378,FALLING,96.68,94.91,RISING
2026-09-16,2026-09-16T15:52:19.810498-04:00,WASHOUT,GO_EARLY_INTRADAY,3,WASHOUT,18.8,-55.39,-47.53,-1992.052901,1027.7706699999999,3.436875849193358,0.7804032653883456,1652.0,3097.0,15.085167513409033,19.113775019494337,27.48151019594381,FALLING,96.26,94.91,RISING
2026-09-16,2026-09-16T15:57:00.745411-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,19.8,-55.39,-47.53,-1918.6981179999998,1183.6420009999997,3.1740400354323888,0.7531985077058858,1682.0,3070.0,15.114278301265244,19.125419334636824,27.486803066463118,FALLING,95.66,94.91,RISING
2026-09-16,2026-09-16T16:01:51.591761-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,19.8,-55.39,-47.53,-1941.730216,1414.230606,3.1399424708171995,0.7150539611592416,1709.0,3036.0,15.144072758610037,19.137337117574738,27.49222024052581,FALLING,95.3,94.91,RISING
2026-09-16,2026-09-16T16:12:19.747368-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,19.8,-55.39,-47.53,-1702.2289619999997,1622.5937300000005,2.4283208472396667,0.6922644417692546,1943.0,2818.0,15.377999060858883,19.230907638474278,27.534752295480146,FALLING,95.36,94.91,RISING
2026-09-16,2026-09-16T16:24:26.448269-04:00,OVERSOLD,WAIT_FOR_WASHOUT,0,WASHOUT,19.8,-55.39,-47.53,-1849.6383,1584.3427029999998,2.497357616819211,0.7036010093420129,1949.0,2819.0,15.381266310422902,19.232214538299885,27.53534634085542,FALLING,95.41,94.91,RISING
2026-09-16,2026-09-16T16:35:28.983534-04:00,OVERSOLD,WAIT_FOR_WASHOUT,0,WASHOUT,19.8,-55.39,-47.53,-1849.6383,1584.3427,2.4973576588468807,0.7036010168252167,1949.0,2819.0,15.381266310422902,19.232214538299885,27.53534634085542,FALLING,95.41,94.91,RISING
2026-09-17,2026-09-17T09:40:26.902547-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,21.8,-56.23,-49.31,-2242.533,1601.2329,2.5237374415815816,0.7214749931344261,1939.0,2942.0,15.32440993581146,19.20947198845531,27.525008818198796,FALLING,90.61,95.41,FALLING
2026-09-17,2026-09-17T09:50:40.559051-04:00,WASHOUT,GO_EARLY_INTRADAY,3,WASHOUT,22.8,-56.23,-49.31,136.125586,1775.863533,0.1938936192991477,0.10723227769584245,2913.0,761.0,18.165902842876633,20.34606915128138,28.041643892210644,RISING,90.02,95.41,FALLING
2026-09-17,2026-09-17T10:00:42.056510-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,21.6,-56.23,-49.31,181.487933,1987.7115669999998,0.27867961517149,0.1260020435217011,2975.0,915.0,17.374822639906853,20.029637070093468,27.89781112803432,FLAT,90.03,95.41,FALLING
2026-09-17,2026-09-17T10:08:36.976434-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,20.4,-56.23,-49.31,250.55073700000003,2173.611729,0.2804105808048032,0.13802652315908323,3063.0,964.0,17.348513097444354,20.01911325310847,27.89302757485932,FLAT,89.92,95.41,FALLING
2026-09-17,2026-09-17T10:25:56.692065-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,21.2,-56.23,-49.31,308.339117,2464.004767,0.3472195195853018,0.16323022063086123,3033.0,1122.0,17.157343674828525,19.942645484062137,27.85826949802008,FALLING,88.84,95.41,FALLING
2026-09-17,2026-09-17T10:38:36.688589-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,21.2,-56.23,-49.31,403.61218799999995,2836.159301,0.32837334610232993,0.14270672462212777,3204.0,1063.0,17.287325475451183,19.994638204311197,27.881902552678746,FALLING,88.95,95.41,FALLING
2026-09-17,2026-09-17T10:47:36.246133-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,21.0,-56.23,-49.31,424.57494699999995,2977.18923,0.3570041273896207,0.14826850730578117,3246.0,1091.0,17.27208993933715,19.988543989865587,27.879132455203465,FALLING,88.75,95.41,FALLING
2026-09-17,2026-09-17T10:56:19.856019-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,20.4,-56.23,-49.31,451.70625900000005,3086.426372,0.36767794345656857,0.14900303170862494,3237.0,1121.0,17.236709645385957,19.974391872285107,27.872699674485066,FALLING,89.44,95.41,FALLING
2026-09-17,2026-09-17T11:01:18.028635-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,20.6,-56.23,-49.31,511.291725,3168.190361,0.33623692252792486,0.15232337071654828,3288.0,1084.0,17.294715861334453,19.997594358664507,27.883246259202977,FALLING,89.35,95.41,FALLING
2026-09-17,2026-09-17T11:12:19.725420-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,21.0,-56.23,-49.31,507.665176,3299.5922,0.3786535472996511,0.16387845528277706,3269.0,1143.0,17.225274623306376,19.969817863453276,27.870620579561507,FALLING,89.29,95.41,FALLING
2026-09-17,2026-09-17T11:24:09.243539-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,21.2,-56.23,-49.31,569.4493110000001,3397.9960910000004,0.37809057753597475,0.17129791954227747,3246.0,1194.0,17.16423728384497,19.945402927668713,27.859522881477616,FALLING,89.36,95.41,FALLING
2026-09-17,2026-09-17T11:35:23.026283-04:00,WASHOUT_WATCH,WATCH_EARLY_TURN,1,WASHOUT,21.0,-56.23,-49.31,686.6614749999999,3548.1402329999996,0.3320964057560109,0.17234616577099285,3309.0,1154.0,14.141685745480544,17.0629091502949,25.01763912255756,FALLING,89.24,95.41,FALLING
2026-09-17,2026-09-17T11:48:52.723282-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,21.2,-56.23,-49.31,716.523391,3734.957628,0.34979742095861216,0.16744167179640984,3335.0,1151.0,14.150691822628659,17.066511581154145,25.019276591129945,FALLING,88.94,95.41,FALLING
2026-09-17,2026-09-17T11:58:07.751968-04:00,WASHOUT,GO_EARLY_INTRADAY,2,WASHOUT,21.8,-56.23,-49.31,824.6343579999999,3836.8889870000003,0.311681858607385,0.17024281053923224,3410.0,1101.0,14.207425769174904,17.089205159772646,25.029591854138353,FALLING,88.92,95.41,FALLING
